municipality,type,iata_code,latitude_deg,longitude_deg,iso_country
Wilmot,small_airport,,33.07929992675781,-91.54319763183594,US
Henning,small_airport,,46.30379867553711,-95.43949890136719,US
Sterling,small_airport,,60.540256,-150.813827,US
Wasilla,small_airport,,61.627619,-149.575331,US
Fort Rucker/New Brockton,heliport,,31.388399124145508,-85.97239685058594,US
Higden,small_airport,,35.544498443603516,-92.18489837646484,US
Gilbert,heliport,,33.287759,-111.751454,US
Glenburn,seaplane_base,,44.907001,-68.805,US
Daggett,heliport,,34.868942,-116.832024,US
Glendale,heliport,,35.15719985961914,-118.28900146484375,US
Branson,small_airport,,37.38750076293945,-103.69100189208984,US
Jupiter,small_airport,,26.90839958190918,-80.32890319824219,US
Mascotte,small_airport,,28.641700744628906,-81.88500213623047,US
Clearwater,heliport,,27.953527,-82.806222,US
Redan,heliport,,33.75339889526367,-84.16210174560547,US
French Lick,seaplane_base,,38.43339920043945,-86.69110107421875,US
Walford,small_airport,,41.841400146484375,-91.83429718017578,US
Kuna,small_airport,,43.46269989013672,-116.35900115966797,US
Earlville,small_airport,,41.5994987487793,-88.86990356445312,US
Nauvoo,small_airport,,40.5463981628418,-91.27429962158203,US
Wichita,heliport,,37.69580078125,-97.37249755859375,US
Jackson,closed,,37.525902,-83.344901,US
Belle Chasse,heliport,,29.84606,-90.03216,US
Elburn,closed,,41.872301,-88.491982,US
St Francisville,heliport,,30.70789909362793,-91.32019805908203,US
Pepperell,heliport,,42.69060134887695,-71.60900115966797,US
Baltimore,heliport,,39.291401,-76.546303,US
Bethel,heliport,,44.415247,-70.844275,US
Jackson,heliport,,42.2510986328125,-84.39140319824219,US
Waldron,small_airport,,39.23059844970703,-94.80439758300781,US
Ethridge,small_airport,,48.558696,-112.117095,US
Middletown,small_airport,,41.431999,-74.391602,US
St. Pauls,small_airport,,34.82749938964844,-78.9302978515625,US
Glen Ullin,small_airport,,46.7489013671875,-101.66899871826172,US
Nebraska City,heliport,,40.68000030517578,-95.86170196533203,US
Kensington,small_airport,,42.92839813232422,-70.97309875488281,US
Moorestown,closed,,39.950102,-74.999603,US
Baker,small_airport,,39.098333,-114.150277,US
Auburn,small_airport,,42.836797,-76.437614,US
Youngstown,heliport,,41.11479949951172,-80.65699768066406,US
Williamsfield,small_airport,,41.50979995727539,-80.59120178222656,US
New Lebanon,small_airport,,39.734798431396484,-84.3822021484375,US
Grove,heliport,,36.54169845581055,-94.83360290527344,US
Forest Grove,small_airport,,45.4650993347168,-123.08000183105469,US
Ceres,small_airport,,41.995792,-78.288152,US
Harrisburg,heliport,,40.382733,-76.772533,US
West Homestead,heliport,,40.40230178833008,-79.92130279541016,US
Bellville,closed,,29.941065,-96.245298,US
Derby,closed,,37.581088,-97.2575,US
Buckholts,small_airport,,30.90850067138672,-97.11689758300781,US
